,HateSpeech,BestCS,BestIntent,E,R,A,C,L,CSCount,Target
65,The Koran is not about peace. It is a violent book that should not be taught in primary school.,Islam is a religion that has been tested and proven to be about peace. There is no basis for labelling the Koran as a violent book.,Informative,3.0,4.0,3.0,2.0,2.0,3,MUSLIMS
66,Jewish folks only care about money.,Over the years the wealth gap between non-jews and jews has narrowed significantly. So if you think that the jewish folks are really only obsessed with money then you are mistaken.,Informative,3.0,5.0,1.0,2.0,2.0,1,JEWS
67,Jews don't belong to the United States of America.,Jews and their families have been here a long time and have as much right in the US as anyone else.,Informative,3.0,4.0,1.0,2.0,2.0,1,JEWS
68,Islam is a perversion of the true meaning of Christianity.,"There are many different religions, each should be respected.",Positive,2.0,2.0,2.0,2.0,1.0,2,MUSLIMS
69,Women have no place in our society.,In a democratic society there must be space for women. Don't you think so?,Questioning,3.0,5.0,1.0,1.0,2.0,2,WOMEN
70,Feminism is about the domination of the men by the women.,"The feminist movement is a fight to end sexism, not a fight to dominate men.",Informative,3.0,3.0,3.0,2.0,1.0,2,WOMEN
71,Mentally disabled folks are messed up.,"What do you mean by ""messed up""? Many of us are ""messed up"" as well. So, either we are all ""messed up"" because there are some who are stating this, or no one is. I would prefer the second option.",Questioning,2.0,3.0,1.0,2.0,2.0,1,DISABLED
72,Refugees are just lazy people who don't mind where to live as long as they can do it on our welfare.,This is not true. All asylum seekers who come to our country do so with the explicit intention of having a fair chance at working and living here.,Informative,3.0,5.0,2.0,3.0,2.0,1,MIGRANTS
73,I think it's unfair that they have the same rights as us without paying their taxes. That's how it works.,"It is really hurtful to see someone say this. Humans, no matter where they come from, deserve to have the same fundanmental rights. No matter where they come from.",Positive,3.0,4.0,2.0,2.0,2.0,4,MIGRANTS
74,"African Americans are essentially animals, incapable of feeling love.",Imagine someone felt the same way about you and found you to be the antithesis of human because of your skin color?,Questioning,1.0,1.0,4.0,2.0,2.0,1,POC
75,Women are weak and inferior. They can't be considered succesful citizens as men are.,"Women must not be treated as though they are 'inferior'. For instance, women can vote and run for office just as men do.",Informative,3.0,4.0,2.0,2.0,2.0,2,WOMEN
76,We are not supposed to be importing Muslims. They are just a bunch of superstitious and violent cavemen.,"The Quran says to love your neighbour as yourself, to accept everyone's problems as gifts from God, and to love those who do not love themselves. This does not seem like a book of violent cavemen.",Informative,3.0,5.0,1.0,3.0,2.0,2,MUSLIMS
77,Some salesmen are annoying. They are so gay. Store managers should really revise their HR.,"In some countries, if you are gay you can be fired from your job, you can lose your home, and you can even be jailed. Gays are not allowed to live their lives. In 72 countries in the world LGBT+ people are not welcome. This is an understatement, because in some there is even death penalty. The question is: why are they so annoying to you?",Informative,3.0,4.0,3.0,3.0,3.0,1,LGBT+
78,Jews are only interested in themselves and their own race.,Do you really think that Jews only care about themselves? Then why do they prefer to live in our country where they are not the majority? How would you answer that?,Questioning,3.0,5.0,2.0,1.0,3.0,1,JEWS
79,Feminism is just a way for insecure women to promote sexism and hate speech towards men.,"Feminism was originally used to oppose sexual discrimination, and in recent times is actively fighting for women's rights, not for spreading hate towards men.",Informative,3.0,4.0,3.0,2.0,2.0,1,WOMEN
80,"What the hell are you talking about? Arabs are different, they don't even speak English.","Although they may not share a language and a common history, we should respect their differences.",Positive,3.0,4.0,3.0,2.0,2.0,1,OTHER
81,Immigrants are bringing diseases and crime to our country.,"Instead, immigrants are healthy and contribute to our society. Do you have any evidence of the contrary?",Questioning,2.0,3.0,1.0,2.0,2.0,1,MIGRANTS
82,Muslims are a problem in my opinion. They try to infiltrate in Western societies to spread their anti-Western agenda.,Well there are many Muslims in our country and they are not in any way a problem. What we have to be wary of are people who are too discriminatory towards them.,Informative,2.0,2.0,3.0,2.0,2.0,1,MUSLIMS
83,We are being invaded. They are replacing us.,"A melting pot of diverse cultures is a sign of healthy human evolution. They have still not lost their culture, civilisation, identity and way of life.",Positive,3.0,4.0,2.0,2.0,2.0,4,MIGRANTS
84,They say you cannot judge a book by its cover. But the feminists are judging us all the time.,"Unlike other people, feminists are questioning the inequalities of the society. This features them not as shallow people as those judging a book by its cover.",Informative,2.0,2.0,2.0,2.0,2.0,2,WOMEN
85,Gay pride is so awkward.,"The spate of attacks directed against people perceived to be gay, lesbian, bisexual or transgender have horrible consequences. Some reports show that bullied queer people are at a risk of harming themselves.",Informative,3.0,5.0,1.0,4.0,2.0,4,LGBT+
86,How come Muslims don't get internment?? Is it because they are 'too big to intern'?,"Internment is used for the confinement ""of enemy citizens in wartime or of terrorism suspects"", and thus it is not necessarily related to someone being Muslim.",Informative,1.0,2.0,2.0,2.0,2.0,1,MUSLIMS
87,"We don't want foreigners, we don't want Islam. They are just troublemakers!","For the record, take a look at the statistics for anti-Muslim attacks all over the world, and think about the problems they face everyday.",Informative,3.0,5.0,3.0,3.0,2.0,2,OTHER
88,Women are nothing but trouble to this country.,We live in a diverse society and there are women in all parts of the world. To suggest that they 'are nothing but trouble' is bigoted and misogynistic.,Informative,3.0,5.0,1.0,3.0,2.0,1,WOMEN
89,Jews have a stranglehold on American culture and it's high time for us to make that stop.,"Jews in America are a very special part of our country and are loved and respected by so many. Their contribution, which is not a stranglehold, covers many fields such as science, technology, finance just to mention a few.",Informative,3.0,4.0,3.0,2.0,2.0,1,JEWS
90,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.","Children should not do any of that with white men, or anyone they do not know or even ones they do know if it does not feel right. Suggesting only one group of men commit abuse leaves more children unsafe and vulnerable.",Informative,3.0,4.0,3.0,2.0,2.0,2,MUSLIMS
91,Jews are the enemy of the West.,Why would you say that? Jews are also member of this country. Why would they be an enemy of place they live and grew up?,Questioning,3.0,5.0,1.0,2.0,2.0,3,JEWS
92,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,Perhaps you should monitor your own hate speech before pointing the finger at others?,Questioning,1.0,2.0,3.0,2.0,1.0,1,MUSLIMS
93,Homosexuals are sick. They should be isolated and confined.,"Unfortunately, it seems that you have prejudice against homosexuals. In the West, even if they are still stigmatized as deviant they can feel at home. Really, they are just trying to have normal loving relationships.",Denouncing,3.0,4.0,3.0,3.0,3.0,4,LGBT+
94,The responsibility for disability lies with the individuals who are not giving them enough support.,,,,,,,,0,
95,Jews do not belong to this planet.,,,,,,,,0,
96,Islam is incompatible with any Western society.,The Koran does not have any anti-western content. In Islam the West is not a problem.,Informative,3.0,5.0,1.0,1.0,2.0,1,MUSLIMS
97,Children shouldn't be raised by lesbians! They will bring up the worst in us!,"Lesbians can also create an environment in which children feel welcome. Instead, we should play our part and try to build a more accepting society.",Positive,3.0,5.0,1.0,2.0,2.0,4,LGBT+
98,Gay men are basically violent criminals.,Are you talking about gay men being violent toward their partners? You should really check your facts.,Questioning,2.0,2.0,2.0,1.0,2.0,1,LGBT+
99,Immigrants rape our women and they are not welcome here.,I don't think it is true. They are welcome just as any others as members of the community as long as they respect the law. And we should have respect for migrants and their cultures as well.,Positive,3.0,5.0,1.0,3.0,2.0,3,MIGRANTS
100,"If Islam really was a peaceful religion, we’d expect peaceful marchers to be marching with equal enthusiasm for it.",The main values of a peaceful movement are peaceful protest and non-violence. Why else would people from all walks of life have been demonstrating all over the world this week for Islam? To promote dialogue.,Informative,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
101,I am offended by the thought that Muslim women are not allowed of having their hair down.,"Women are allowed to wear whatever hairstyle they want, if they want to conform to the Islamic traditon it is their choice.",Informative,3.0,3.0,3.0,2.0,2.0,3,MUSLIMS
102,Faggots are ruining this country.,"I'm not convinced that having a large mumber of people stuck in the 'closet', living unhappy lives was good for any country.",Informative,3.0,5.0,1.0,2.0,2.0,3,LGBT+
103,"Islam is a violent religion that promotes rape, murder and slavery.","The Quran does not advocate the practices listed above, so why do you say that?",Questioning,3.0,4.0,3.0,2.0,2.0,2,MUSLIMS
104,Gypsies are a bunch of thieves.,"Any human, out of desperation can be driven to do unethical things. Don't discern this about Gypsies alone.",Denouncing,3.0,4.0,2.0,2.0,2.0,4,OTHER
105,"I hope you're fucking kidding me. Immigration is good for the economy?! It makes us rich and keeps the lights on? Not only that is false, it also puts us in danger. Immigration is a bad thing and very far from the core British values.",Immigration is a positive force for a thriving country.  For what reasons does it put us in danger?,Questioning,3.0,3.0,3.0,2.0,2.0,2,MIGRANTS
106,We are ruled by a small Jewish elite that exploit the weak.,"Yes, some people exploit the weak, but they are not necessarly jewish. Most people, including the Jewish, work hard to create a better life for their families. And it is we, as a people, who have the moral duty to pay the price for the poor who do not have the means to reach success.",Informative,3.0,4.0,2.0,2.0,2.0,1,JEWS
107,Nonbinary folks shouldn't exist.,"Nonbinary people can partially identify as either male or female, or as neither male nor female. Therefore, it seems the terminology is fitting, and that they exist: ",Positive,3.0,5.0,1.0,2.0,2.0,2,LGBT+
108,People with learning difficulties should be discouraged tfrom attending secondary school and they should be excluded from education.,"The educational system should be inclusive and provide all students with a high quality education, otherwise, education is failing its primary goal.",Denouncing,3.0,4.0,3.0,2.0,2.0,1,DISABLED
109,"We should build a big wall around Europe so that the native inhabitants of the Middle East, Africans, and Asians will be kept in their places.",,,,,,,,0,
110,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Your statement suggests that white people cordon off areas for themselves first which prevent jews from accessing those areas.,Informative,3.0,4.0,3.0,3.0,2.0,4,JEWS
111,The only objective means of achieving our goals is to promote hatred and violence towards women.,Women are oppressed and victims all over the world. It is simply not true that men must take charge of that: they are in charge of respecting women.,Informative,3.0,4.0,2.0,2.0,2.0,4,WOMEN
112,"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.",Who exactly are you talking to? How can you say something so obviously false?,Questioning,1.0,1.0,3.0,1.0,1.0,1,MIGRANTS
113,Muslims are a cancer in our society. They are literally poisoning our children with their violence.,Not all Muslims are bad. But to say that all Muslims are violent is simply untrue.,Informative,2.0,2.0,3.0,2.0,1.0,1,MUSLIMS
114,Immigrants steals our jobs,"Actually, many of the jobs that they steal are highly complex and demanding, and few natives want to do them.",Informative,3.0,3.0,3.0,2.0,2.0,1,MIGRANTS
115,The only goal of feminism is to take the power and wealth from men and give it to women.,"The fact is that the only objective goal of feminists is to achieve equality for all, irrespective of gender.",Informative,3.0,5.0,1.0,1.0,2.0,1,WOMEN
116,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,I only wish followers of all religions and none were more tolerant. For a tolerant Christian world there sure is a lot of discrimination and hate crime.,Positive,1.0,2.0,2.0,3.0,2.0,1,MUSLIMS
117,"Transexuals, queer, and so on... just a rabble of faggots.","This is not true. Being gay is not synonymous with being bisexual, pansexual, intersex, transgender, queer, deviant, lesbian, tranny, queermetaphysical, or whatever term you want to use... We should try to respect people for who they are instead.",Positive,3.0,4.0,3.0,2.0,3.0,1,LGBT+
118,Feminism is a divisive force in our society.,"Feminism is not a divisive force. The fact is that women are in fact just as capable of understanding as men. People who identify as feminist do not want to divide our society, regardless of how ""divisive"" their beliefs might appear to you.",Informative,3.0,5.0,1.0,3.0,2.0,2,WOMEN
119,"Down syndrome is a problem for everybody, not only in the UK. The impact is very high and we must find a final solution to this.",Parents who have a child with a disability want him/her to be shown the same respect and care as any other child.,Positive,3.0,4.0,1.0,1.0,2.0,4,DISABLED
120,"If women could have 100% control over the conception, they would have never had children.",Women are free to have as many children as they want.,Informative,3.0,3.0,3.0,1.0,1.0,1,WOMEN
121,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,"If you think that taking all of the kids with DS out of mainstream education will solve the problem, then you are wrong. Bullying won't go away until we refuse to tolerate it. Bullies will simply target other kids who are overweight; a different colour; or in a number of other ways considered to be different and, thus, a mark for bullying.",Informative,3.0,4.0,2.0,3.0,3.0,4,DISABLED
122,A nigger has no right to life,The right to life for black people is the same as the right to life for any other race: it should be respected.,Informative,3.0,4.0,3.0,2.0,2.0,1,POC
123,"I think that a Muslim has nothing to contribute to our society, if we could just get rid of them, this will be great.","Also, there is no evidence for what you say, so why do you think this information is reliable?",Questioning,2.0,2.0,3.0,2.0,2.0,2,MUSLIMS
124,"Jews are are cheap, greedy, and materialistic.",Is it fair to be generalizing these things as characteristics of an entire faith?,Questioning,3.0,4.0,3.0,2.0,2.0,4,JEWS
125,Rape culture??? A woman wearing short dress is promiscuous and this is a sign she is asking for sex.,"Rape is always wrong. Women are not asking for sex, you can't just assume this based on their attire. They can make legitimate choices in life.",Informative,3.0,4.0,3.0,2.0,2.0,1,WOMEN
126,Being gay is wrong! I think they are mistaken about their feelings.,"Gay people may have any sexual preference they want, that's their prerogative as human beings.",Informative,3.0,3.0,2.0,2.0,2.0,2,LGBT+
127,Slutty dressing is the main cause of rape.,"If a man is raped we call it rape, and consider him the victim; when a woman is raped we call it a ""misunderstanding"" and she is considered the culprit. Shouldn't the fault be that of the rapist, regardless of gender?",Informative,3.0,4.0,3.0,2.0,2.0,2,WOMEN
128,African women are nothing but objects to be dominated by the will of their dominant male.,Why does skin colour have to be the deciding factor to any opinion?,Questioning,3.0,5.0,1.0,1.0,2.0,2,OTHER
129,You think it's not OK to beat your wife because she has a different faith than you? Why shouldn't I get to beat my wife because of what she believes? Why shouldn't I be allowed to treat her like an object to be dominated by me?,Because it is wrong and degrading to violate someone's autonomy for religious reasons.,Informative,3.0,3.0,3.0,2.0,2.0,2,WOMEN
130,LGBTI people are a burden on society because of their difference.,"In many countries, LGBTI people can legally live their lives. Why do you think this is a burden to others?",Questioning,3.0,5.0,1.0,2.0,2.0,2,LGBT+
131,"If you're going to talk about black rights, then you have to talk about white genocide.","This is not true, it's just a stereotypical narrative that has been constructed to incite hatred and violence against a particular racial group.",Informative,3.0,2.0,3.0,3.0,2.0,1,POC
132,Feminists want men to be oppressed just like animals.,Feminism is about standing up for weaker people and trying to make the world a better place. Its not about standing on the side of the oppressors.,Informative,3.0,5.0,1.0,2.0,2.0,1,WOMEN
133,Islam is a totalitarian ideology that seeks to impose sharia law throughout the world.,"This is not true, Islam is a peaceful religion that promotes mutual understanding and tolerance.",Positive,3.0,4.0,1.0,1.0,2.0,1,MUSLIMS
134,I refuse to accept migrants and I refuse to accept a migrant as my boss.,"Migrants often come here to work and live a decent life. They should be welcomed here, not discriminated against.",Informative,3.0,5.0,1.0,2.0,2.0,1,MIGRANTS
135,"We should not accept LGBT people, they are harmful to us.","Human rights are individual rights, and the right to be loved doesn't include the right to be hated.",Positive,2.0,2.0,2.0,2.0,2.0,1,LGBT+
136,Migrants rape our children.,What kind of a statement is that? How can you say something like that?,Questioning,2.0,3.0,3.0,1.0,2.0,1,MIGRANTS
