,HateSpeech
130,We are forced to economically support all of the so called 'asylum seeker'
131,We are forced to economically support all of them
132,Why gays do not try to heal?
133,Gypsies use their children as beggars.
134,Gypsies do not send children to school
135,MIgrants are not running away from wars.
136,Migrants are not running away from wars.
137,More than half of the prisoners in our jails are foreigners
138,These dogs come here to rape and kill our women
139,Gypsies are a bunch of thieves.
140,Gypsies use children as thieves.
141,"If you are nomads, then go somewhere else but not in my country."
142,"If they are nomads, they must be nomadic"
143,We are being invaded. They are replacing us.
144,Only 8% is a real refugee
145,Gypsies like living in trailer parks.
146,Gypsies are the ones who want to stay in the slums
147,They are nomads. They are not entitled to have a house
148,Gays are just sick. It is an abomination
149,Gays are just sick. They cannot marry. It is an abomination
150,Gypsies are dirty
151,They are fine in the trailer parks.
152,migrants rape our women.
153,migrants rape our women.
154,We should isolate gays because they are spreading AIDS all around the world.
155,We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.
156,homosexuality is a mental illness that can be cured [link]
157,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations."
158,"Gays are perverts, they are promiscuous and fornicate with strangers."
159,Gays are perverts and must be cured because they are practicing anal sex all the time.
160,Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!
161,Allowing gays to donate blood compromises patient safety because they are having unprotected anal sex all the time.
162,Allowing gays to donate blood compromises patient safety because of their sexual behavior.
163,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV. At least we should test them!
164,Gays should never be allowed to donate blood: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!
165,"Even if some countries are allowing faggots to donate blood, this does not mean that they are not dangerous and at risk of spreading diseases."
166,"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap."
167,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining."
168,We are gutful sick of Vagina Misandrists trying to undermine male self esteem. [link]
169,Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.
170,"Women are hypocrite, they say they want equal rights for all, but then they tends to concentrate only on Females in Western democracies \(so predominately white females\). It does little to focus on the problems and inequalities of females in Middle Eastern, African and Asian countries."
171,Women should stop whining: there are no professions barred to them in Western Society.
172,"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education."
173,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.
174,Children with Down Syndrome may hinder the development process of other children. They should be isolated.
175,Children with Down Syndrome may hinder the development process of other children. They should be isolated.
176,Children with Down Syndrome may hinder the development process of other children. They should be isolated.
177,Downies are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.
178,Some races have lower physical and cognitive abilities therefore their life is less valuable.
179,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity."
180,"Some races have lower physical and cognitive abilities, and we must preserve the purity of our religion from them."
181,Also the Bible says that some races have lower physical and cognitive abilities.
182,Many philosophers argue that humans are not born equal especially when it comes to gender.
183,We cannot coexist in a society with millions of strangers that disrespect our culture and other human beings.
184,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate.
185,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate but to bring us back into a pretechnological era.
186,Intolerance and violence can only increase when mass migration happens.
187,Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.
188,Fat people are a burden to society because of their unhealthy and reckless choices.
189,"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits."
190,Societal disapproval of fatty may encourage them to take healthier habits.
191,Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.
192,"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval."
193,Shaming Fatties is good to make them taking healthier habits.
194,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.
195,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it."
196,We should refrain from imposing gender ideology on children.
197,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.
198,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied."
199,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied."
200,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.
201,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.
202,I'm tired of woman taking part in political debate. Feminism is a divisive force in society.
203,"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become."
204,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.
205,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.
206,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms."
207,Fat people are a burden to society because of their unhealthy choices.
208,Fat people are a burden to society because of their unhealthy choices.
209,Fat people are a burden to society because of their unhealthy choices.
210,What is the point in listening to Muslim women? They are all retarded.
211,"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world."
212,Now we are not even allowed to walk the dog for fear of offending the local Muslim population.
213,Islam is irrational and incompatible with science.
214,Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.
215,If the Koran was published today it would be banned as hate speech.
216,Another rapist from Pakistan. We should deport them all back to their disgusting country.
217,"All Muslims should be deported, no one wants them here."
218,Muslims have no place in civilised Europe.
219,"In civilized Europe, Muslims do not have a place."
220,Muslims will not be a part of civilized Europe.
221,The muslims do not have a place in civilized Europe.
222,Muslims have no place in civilised Europe.
223,These muslims are never going to have a place they can call home in civilized Europe.
224,Muslims have no place in civilised Europe.
225,We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.
226,Muslim invasion is the new plague of London. They must be repatriated to their home countries!
227,Uk is being islamized very fast. British government submits to every whim of Islam.
228,"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan."
229,It is one law for Muslims and another law for us.
230,"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere."
231,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. )
232,"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it."
233,Every single Muslim is a potential terrorist.
234,All muslims are capable of becoming terrorists.
235,Every Muslim is a potential terrorist.
236,"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism."
237,There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.
238,"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen."
239,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?"
240,Every Muslim is a potential terrorist.
241,Every Muslim is a potential terrorist.
242,All the muslims are terrorists.
243,Every Muslim is a potential terrorist.
244,"You think these Muslim cockroaches have won? No, now is time for bloody retribution!"
245,Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? Thou shalt not covet. This includes other countries territory. Stop Islam spreading!
246,The only ones in favour of Islam and Muslims are those ignorant about what it truly is.
247,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble."
248,What have Muslims ever done for us?
249,Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.
250,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!
251,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers."
252,"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today."
253,"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult."
254,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!
255,"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam."
256,"Not all Muslims are terrorists, but all terrorists are Muslims."
257,"I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe."
258,Islam is just a moon cult masquerading as a religion.
259,"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!"
260,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.
261,It is obvious that this girl is at risk of FGM. Her parents are Muslims!
262,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's."
263,Islam is a just a repressive ideology that persecutes women and gay people.
264,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.)
265,Muslims can never be a part of the progressive Western Soceity.
266,No muslims are compatible with any Western soceity.
267,These Muslims will never be able to blend into Western soceity
268,No muslims are compatible with any Western soceity.
269,All Muslims are incompatible with any Western society.
270,All Muslims are incompatible with any Western society.
271,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.
272,99% of Muslims in the UK are unemployable and refuse to work.
273,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with."
274,"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?"
275,Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!
276,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?"
277,We need to Burn the Koran and all the Mosques down - this will solve all the problems in this country.
278,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.
279,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country."
280,It is not about multiculturalism but about evil Islamic ideology. Islam is designed to dominate and destroy all other cultures. Wake up!
281,We have been at war with Islam for a thousand years.
282,Muslims have nothing to contribute to our society.
283,Muslims cannot contribute anything meaningful to our society.
284,Society has nothing to gain from Muslims.
285,Muslims have nothing to contribute to our society.
286,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.
287,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry.. English laws persecute instead of defending English people."
288,Above all Islam is a religion of conquest.
289,The world would be a better place without Muslims. They are only killing and raping our children.
290,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!
291,"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy."
292,"Muslim rape gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is disgusting!"
293,We need to burn the Koran and demolish all Mosques - this will solve all problems in this country.
294,The vast majority of Muslims are unemployed and refuse to work.
295,Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?
296,"Our government has brought Islamic invaders to our country, and now we see our girls and women damaged."
297,"Hijab means Islam, Islam means woman and child oppression, rapism, intolerance, chauvinism. I do not like hijab and everything else that follows!"
298,Islam is a plague infecting our planet.
299,"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?"
300,"Don't belive the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence."
301,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place."
302,"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion."
303,"If they love Sharia law so much, why do not they go off and live in a Muslim country?"
304,"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history."
305,"Muslims, if they cannot assimilate, they should emigrate."
306,"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?"
307,Using violence to punish another person? Sounds like a muslim issue.
308,Our children are being forced fed with this 'Islam' nonsense in schools. This is a disgrace.
309,"He has found a person who publicly critisizes Islam and muslim radicalism, as all western people hate Islam."
310,"Children with Down syndrome are retarded, so more likely to abuse drugs and alcohol."
311,Jews are genetically evil.
312,Jews are just a bunch of whining pussies
313,The problem is that Jews are genetically evil but behave like whining pussies.
314,The Jews are an oriental conspiracy to subvert European culture
315,Jews want to subvert western democracy and destroy freedom.
316,Tell Mr Soros that he is a parasite on Europe and that the European people is suffering from multiculturalism.
317,"Jews rule the world and control banks, media, education, entertainment, finance and most of all, politics."
318,We cannot mix our blood with Jewish's one.
319,"The West is heading in the direction of Fascism, because Jews are planning to install a world dictator."
320,The Jews invented Ebola.
321,"We are all created equal in the eyes of the law, but a few individuals have the gall to question this equality and to claim that some groups - such as Jewish - are more worthy of protection from society than others."
322,The Jews are the reason why the World Cup is getting so expensive.
323,"Jews are selfish, cheap and greedy, not like other religions."
324,"I would place the blame for 9/11 on Jews, in fact it's a false flag on the Islamic religion."
325,"Jews are inherently evil, they want to subvert Western society."
326,"The Holocaust never happened, it was a charade carried out by Jews to subvert European society."
327,"I like ethnic minorities, but Jews have no place in civilised society."
328,Only a small minority of Jews control the government and judiciary.
329,Jews are a bunch of cheapskates controlling our society.
330,"What do Jewish want in return for their allegiance to the state? Free healthcare, education, housing and employment."
331,Jews are better at being sneaky than honest.
332,Jewish Supremacists are too focused on world domination. They want to rule the world.
333,Jews control the US government.
334,All Jews are criminals.
335,"We must first remove the Jew from our countries, and then we will be able to have a coexistence between the peoples."
336,"Jewish news media, Jewish education authorities, Jewish Lawyers, Jewish CEOs, Jewish politicians. Jews control the world."
337,"The Jews have ""own interests"" in the US, and have the will to influence our government"
338,Do you like gays? Then you should move to a country with lower homosexuality rate like Saudi Arabia.
339,Let's move gays to places with lower homosexuality rate like Saudi Arabia.
340,Our laws have been hijacked by the transgender mafia to criminalize normality and silence us.
341,The whole idea of marriage is to bond a man and a woman and raise children.
342,I wish I live in a country that does not tolerate gay people.
343,I wish I live in a country that does not tolerate gay marriage.
344,LGBT people are a problem in our country because they have the temerity to seek happiness and family regardless of our values.
345,"Children should be raised by heterosexual parents, not gays. It is the best system ever."
346,"According to the Bible, then gays are an abomination to God."
347,Faggots are poisoning our children minds with their filthy depravity.
348,Gays are poisoning our children with their icky homosexuality.
349,"If LGBT were to have a normal appearance, this would help to build a more accepting society."
350,"If LGBT were to have a normal behavior, society would accept them more easily."
351,Our society is becoming too much sexualised and tolerant towards LGBTI people.
352,Sharia law is a perversion of Islam and we will not accept it in UK.
353,Islam has no place in civilised Europe.
354,Islam is a totalitarian ideology that denies women their rights and promotes rape.
355,We cannot have an army of millions of Muslims on our borders and then turn a blind eye to their sickness and terrorism.
356,"Britain should ban Islam, this is the most important thing."
357,"If Sharia was implemented in the UK, we would all be under arrest and tried for 'Islamaphobia'."
358,Islam is a Virus. We must eliminate it before it destroys us all.
359,"Muslims don't want our babies, they want to take over the world"
360,Muslims are nothing but criminals and terrorists.
361,"Islam is a disease, it is a load of dolts that run amok in its countries."
362,"In the name of Islam, I want to rape as many of your wives and/or girlfriends as possible. That would be the best interpretation in the eye of many."
363,"Many Muslims are unemployed, poor and lack education."
364,Islam is a very violent ideology.
365,"If a woman does not want to be submissive to men, then she is a bitch."
366,"Women are basically childlike, they remain this way most of their lives."
367,"Women need to accept that they are weak, they must be submissive to men."
368,Women need to accept that they are weak and inferior.
369,"I'm not a woman and I'm not a cunt. So, I do not identify as a feminist."
370,"Women are nothing but trouble, they should be submissive."
371,"Women are basically childlike, they need a man to take care of them."
372,"Women are basically childlike, they remain this way most of their lives. Soft and emotional."
373,Women need to accept that they are weak.
374,"Feminism is about the destruction of manhood, and the disempowerment of white man."
375,Women need men's approval to do anything.
376,Feminism is a selfish ideology: they only care about themselves.
377,Feminism is the new racial prejudice.
378,I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.
379,"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized."
380,White race is superior. Niggas are just a bunch of criminals.
381,Preserving white blood is the most important thing.
382,"I am not interested in sex with a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity."
383,Those blacks are slaves: slavery runs in their blood.
384,"Afro-Saxon people have low birthrates because they want to look like white people, but they live as animals."
385,"Afro-Saxon got access to health care, however they are still complaining."
386,Where is the love in White Britain when we need it?
387,What this nigga have to do with being a Westerner?
388,I miss the good old days when we had black domestic workers.
389,All negroes are inherently violent and unstable.
390,"I'm proud to be white, blacks are a disgrace to humanity."
391,Negroes are the cause of all the problems in our nation. They are violent and unstable.
392,"The migrants are here to rape and pillage our country, exploiting all of our weaknesses."
393,"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it."
394,MIgrants do not contribute to society.
395,"I ask for nothing in return but the removal of immigrants from my country. They are our enemies, They are not welcome here."
396,"Immigrants are a problem, they are lazy and do not want to work hard."
397,"We should build a big wall around Europe so that the native inhabitants of the Middle East, Africans, and Asians will be kept in their places."
398,We must stop refugees on our border.
399,"If immigrants were to live here, it would be hard to find a job"
400,"Immigrants are our enemies: they hate us, so they are not welcome here."
401,Jews are making too much money.
402,Jews make too much money.
403,Nazi were not that bad as we depict them. EU should stop blaming them.
404,Jews are are racist: they want to preserve their own race and purity of their own blood. This is why many people are banned from entering Israel.
405,Jews control the elite schools in Europe.
406,"Jews are too connected to their homeland , they are not loyal to our nation."
