,HateSpeech,Target
63,We must stop refugees on our border.,MIGRANTS
64,Women are inherently subhuman and should not be valued.,WOMEN
65,The Koran is not about peace. It is a violent book that should not be taught in primary school.,MUSLIMS
66,Jewish folks only care about money.,JEWS
67,Jews don't belong to the United States of America.,JEWS
68,Islam is a perversion of the true meaning of Christianity.,MUSLIMS
69,Women have no place in our society.,WOMEN
70,Feminism is about the domination of the men by the women.,WOMEN
71,Mentally disabled folks are messed up.,DISABLED
72,Refugees are just lazy people who don't mind where to live as long as they can do it on our welfare.,MIGRANTS
73,I think it's unfair that they have the same rights as us without paying their taxes. That's how it works.,MIGRANTS
74,"African Americans are essentially animals, incapable of feeling love.",POC
75,Women are weak and inferior. They can't be considered succesful citizens as men are.,WOMEN
76,We are not supposed to be importing Muslims. They are just a bunch of superstitious and violent cavemen.,MUSLIMS
77,Some salesmen are annoying. They are so gay. Store managers should really revise their HR.,LGBT+
78,Jews are only interested in themselves and their own race.,JEWS
79,Feminism is just a way for insecure women to promote sexism and hate speech towards men.,WOMEN
80,"What the hell are you talking about? Arabs are different, they don't even speak English.",OTHER
81,Immigrants are bringing diseases and crime to our country.,MIGRANTS
82,Muslims are a problem in my opinion. They try to infiltrate in Western societies to spread their anti-Western agenda.,MUSLIMS
83,We are being invaded. They are replacing us.,MIGRANTS
84,They say you cannot judge a book by its cover. But the feminists are judging us all the time.,WOMEN
85,Gay pride is so awkward.,LGBT+
86,How come Muslims don't get internment?? Is it because they are 'too big to intern'?,MUSLIMS
87,"We don't want foreigners, we don't want Islam. They are just troublemakers!",OTHER
88,Women are nothing but trouble to this country.,WOMEN
89,Jews have a stranglehold on American culture and it's high time for us to make that stop.,JEWS
90,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",MUSLIMS
91,Jews are the enemy of the West.,JEWS
92,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,MUSLIMS
93,Homosexuals are sick. They should be isolated and confined.,LGBT+
94,The responsibility for disability lies with the individuals who are not giving them enough support.,DISABLED
95,Jews do not belong to this planet.,JEWS
96,Islam is incompatible with any Western society.,MUSLIMS
97,Children shouldn't be raised by lesbians! They will bring up the worst in us!,LGBT+
98,Gay men are basically violent criminals.,LGBT+
99,Immigrants rape our women and they are not welcome here.,MIGRANTS
100,"If Islam really was a peaceful religion, we’d expect peaceful marchers to be marching with equal enthusiasm for it.",MUSLIMS
101,I am offended by the thought that Muslim women are not allowed of having their hair down.,MUSLIMS
102,Faggots are ruining this country.,LGBT+
103,"Islam is a violent religion that promotes rape, murder and slavery.",MUSLIMS
104,Gypsies are a bunch of thieves.,OTHER
105,"I hope you're fucking kidding me. Immigration is good for the economy?! It makes us rich and keeps the lights on? Not only that is false, it also puts us in danger. Immigration is a bad thing and very far from the core British values.",MIGRANTS
106,We are ruled by a small Jewish elite that exploit the weak.,JEWS
107,Nonbinary folks shouldn't exist.,LGBT+
108,People with learning difficulties should be discouraged tfrom attending secondary school and they should be excluded from education.,DISABLED
109,"We should build a big wall around Europe so that the native inhabitants of the Middle East, Africans, and Asians will be kept in their places.",MIGRANTS
110,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",JEWS
111,The only objective means of achieving our goals is to promote hatred and violence towards women.,WOMEN
112,"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.",MIGRANTS
113,Muslims are a cancer in our society. They are literally poisoning our children with their violence.,MUSLIMS
114,Immigrants steals our jobs,MIGRANTS
115,The only goal of feminism is to take the power and wealth from men and give it to women.,WOMEN
116,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,MUSLIMS
117,"Transexuals, queer, and so on... just a rabble of faggots.",LGBT+
118,Feminism is a divisive force in our society.,WOMEN
119,"Down syndrome is a problem for everybody, not only in the UK. The impact is very high and we must find a final solution to this.",DISABLED
120,"If women could have 100% control over the conception, they would have never had children.",WOMEN
121,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,DISABLED
122,A nigger has no right to life,POC
123,"I think that a Muslim has nothing to contribute to our society, if we could just get rid of them, this will be great.",MUSLIMS
124,"Jews are are cheap, greedy, and materialistic.",JEWS
125,Rape culture??? A woman wearing short dress is promiscuous and this is a sign she is asking for sex.,WOMEN
126,Being gay is wrong! I think they are mistaken about their feelings.,LGBT+
127,Slutty dressing is the main cause of rape.,WOMEN
128,African women are nothing but objects to be dominated by the will of their dominant male.,OTHER
129,You think it's not OK to beat your wife because she has a different faith than you? Why shouldn't I get to beat my wife because of what she believes? Why shouldn't I be allowed to treat her like an object to be dominated by me?,WOMEN
130,LGBTI people are a burden on society because of their difference.,LGBT+
131,"If you're going to talk about black rights, then you have to talk about white genocide.",POC
132,Feminists want men to be oppressed just like animals.,WOMEN
133,Islam is a totalitarian ideology that seeks to impose sharia law throughout the world.,MUSLIMS
134,I refuse to accept migrants and I refuse to accept a migrant as my boss.,MIGRANTS
135,"We should not accept LGBT people, they are harmful to us.",LGBT+
136,Migrants rape our children.,MIGRANTS
137,Black folks like stealing.,POC
138,Islam is a cancer on the African continent.,MUSLIMS
139,"Immigrants bring crime, they are rapists.",MIGRANTS
140,All blacks are violent criminals.,POC
141,Judaism is a disease.,JEWS
142,The LGBT people are not interested in sex. It is a fad. They are a bunch of exhibitionists and promiscuous with no morality.,LGBT+
143,Jews are a curse to this world and should be exterminated.,JEWS
144,When these lads weren't drinking and taking drugs they were destroying synagogues and murdering infidels. That's the Muslim faith.,MUSLIMS
145,Black people are sexual perverts and we shouldn't allow them to live in the UK.,POC
146,physically disabled folks are worth less than others,DISABLED
147,"African Americans are not human, they are nothing but trouble.",POC
148,"Africans are filthy, they should go back to Africa.",POC
149,Disabled people should not be allowed to live their lives. We can start by limiting them their rights.,DISABLED
150,"All Muslims are a problem in my opinion, they do not want our country to succeed.",MUSLIMS
151,"When your democracy is under attack and you are at war with your own government, it is natural to want to get away from it all. Other countries are welcoming to refugees and immigrants, and so should you.",OTHER
152,Jews are the worst people on the face of the Earth. They have no place in a civilized society and there should be special legislative restrictions for them.,JEWS
153,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",MUSLIMS
154,Feminism is about the destruction of manhood.,WOMEN
155,Gender identity is determined by a person's biological sex. Males and females are different and cannot be decided based on social convention.,LGBT+
156,Gay men aren't normal because they are not interested in women.,LGBT+
157,Muslims have no place in the tolerant Europe. Their only value is violence. Islam is not about tolerance.,MUSLIMS
158,"If you are from another culture, for example Jewish, you are subhuman and unfit to live in our country.",JEWS
159,Islam is a totalitarian ideology that should be banned.,MUSLIMS
160,Who the fuck are you? We are scared to death of Muslims because they want to make us their slaves.,MUSLIMS
161,Refugees are overrunning our continent.,MIGRANTS
162,Pushing disabled people back into the stone ages is our job.,DISABLED
163,"You are a feminazi, you are oppressing everyone with your ideas, also other women.",WOMEN
164,Children with learning difficulties should be excluded from education because they do not belong in school.,DISABLED
165,Anita Hill is a tool for advancing black supremacy.,POC
166,Gays should not be part of our society.,LGBT+
167,Immigrants steal our jobs. Why are they here? Why can't they just work in their homeland? They are all profiteers of our wealth.,MIGRANTS
168,Muslims have no place in civilised Europe. Those accepting them here are losing their civilisation status.,MUSLIMS
169,Violence against women is a migrant issue.,MIGRANTS
170,We have to stop gay people spreading AIDS.,LGBT+
171,If a woman wants an abortion we will kill them.,WOMEN
172,"If I were a Muslim, I'd be ashamed of my heritage.",MUSLIMS
173,All gays are perverts.,LGBT+
174,Islam has no place in a modern democracy like the UK.,MUSLIMS
175,Gay men are sick. LGBT people are always messed up.,LGBT+
176,We should deport all the Jews.,JEWS
177,Holocaust is just a lie spread by Jews to obtain a preferential treatment.,JEWS
178,The drug trade is full of Black people who are breaking the law.,POC
179,How come Jews don't get internment?,JEWS
180,"Black people are subhuman, they have no value in civilized society.",POC
181,"Gay men are perverts publicly condoning sexual violence, who have no place in a civilised society.",LGBT+
182,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",JEWS
183,In the EU there is gender parity. We should shut those feminists up.,WOMEN
184,"Gays are perverts, they are promiscuous and fornicate with strangers.",LGBT+
185,I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,WOMEN
186,All Muslims are terrorists because in the Quran it is written they must conquer us all.,MUSLIMS
187,"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",MUSLIMS
188,Feminism is a selfish ideology: they only care about themselves.,WOMEN
189,Muslims are a cancer in our societies and they should be deleted.,MUSLIMS
190,Migrants are a burden to our country.,MIGRANTS
191,The Muslims are our enemies and we have to bring them to heel: they are all terrorists.,MUSLIMS
192,Muslims do not belong in civilized Europe.,MUSLIMS
193,"Women are just a burden to society, they have no reasoning capabilities. Why should we listen to them?",WOMEN
194,"Indians are cheap, materialistic and lazy, and they shouldn't be accepted in Europe.",OTHER
195,"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",MUSLIMS
196,Islam is a dead ideology that should be relegated to the dustbin of history.,MUSLIMS
197,"Islam is not a peaceful religion, and we shouldn't have a Muslim in government the UK.",MUSLIMS
198,"Jews are hated by everyone here, we should create an apartheid state against them.",JEWS
199,Muslims have no place in civilised Europe. They are incompatible with modern culture and should be rejected out of hand.,MUSLIMS
200,"Migrants pose a security risk, we shouldn't have accepted them.",MIGRANTS
201,"Jews are nasty and selfish, they are a race different to us. Precisely, they don't belong to human race at all.",JEWS
202,Female authority figures are unable to rule and should not be in power.,WOMEN
203,Muslims are not welcome in our country.,MUSLIMS
204,"It doesn't matter if you are a man, a woman, or an immigrant, if you are not white, you are considered inferior and should be rejected by society.",POC
205,Our women are nothing but objects to be dominated by the men of the Western world.,WOMEN
206,Feminism will destroy our culture.,WOMEN
207,Gay men are a burden on society because of their lifestyle choices.,LGBT+
208,Women are basically childlike.,WOMEN
209,The main problem is that these migrants do not want to integrate in our country.,MIGRANTS
210,Islam is a Death cult and it should be banned from any country on the world.,MUSLIMS
211,Muslim invasion is a fact. We are living in a dangerous world. We are living in fear.,MUSLIMS
212,British Muslims have spread cancer all around the world.,MUSLIMS
213,All Muslims are incompatible with any modern secular state.,MUSLIMS
214,jewish folks should be beaten,JEWS
215,Feminists are a bunch of cry babies. We should stop them from their disturbing whining.,WOMEN
216,Migrants get more rights than citizens of our country.,MIGRANTS
217,"Jews control the banks, media, hollywood, even the u.s. government.",JEWS
218,Feminism is a destructive ideology that has hurt so many and caused so much harm to our world.,WOMEN
219,Jews only account for 0.2% of the world's population but they rule the planet.,JEWS
220,Muslims are not interested in Western civilization. Their religion can never be in agreement with our society.,MUSLIMS
221,Faggots are a disgrace to humanity.,LGBT+
222,"Yes, we have a problem with White supremacy and homophobia. However, I can understand why they don't want to associate with 'the other'.",LGBT+
223,White people should be calling for black extermination. Or black can just go back to being our slaves.,POC
224,We need to stop migrants coming into our country. They are not welcome.,MIGRANTS
225,Persons with learning difficulties should be discouraged to attend school and they should be excluded from education. They are a shame.,DISABLED
226,I do not want muslims in my country. They mustn't be part of society.,MUSLIMS
227,"Retards these days are as stupid as they were when they were little. They think they are so special that they can read, write and be creative. It is their world now.",DISABLED
228,Jewish folks are and have big noses.,JEWS
229,Migrants are a drain on our society and we should not welcome them.,MUSLIMS
230,Afro-Caribbean has no right to speak in the United States Congress.,POC
231,Faggots: you can buy your partner toys but you can't have sex with them.,LGBT+
232,Jews feel superior and they are able to love only other Jews.,JEWS
233,If Islam were to become a global religion it would replace Christianity.,MUSLIMS
234,There is nothing for the white race: it is the one really disriminated.,OTHER
235,We should stop immigrants,MIGRANTS
236,Black people's race is the worst in the world.,POC
237,We have been at war with Islam for a thousand years.,MUSLIMS
238,All muslims should be rejected from our country.,MUSLIMS
239,Jews control the United States of America.,JEWS
240,No nigga should have the right to vote.,POC
241,Jews are a despisable race.,JEWS
242,Gypsies get the priority for council houses.,OTHER
243,"All Muslims are incompatible with any Western society, and should be excluded.",MUSLIMS
244,"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?",MUSLIMS
245,"Black slaves were not real patriots, they never gave their lives for the country.",POC
246,The Koran claims that all infidels are subhuman and that Allah wants them to be killed.,MUSLIMS
247,Migrants without permission to stay can still access our welfare,MIGRANTS
248,Our country has become too multicultural and has resulted in immigrants from many countries coming in to exploit the British people.,MIGRANTS
249,Islam is a violent religion and must be stopped.,MUSLIMS
250,"We have to stop Muslims infiltrating, and replacing us. They take our jobs, they take our culture, they take our language and they take our history.",MUSLIMS
251,"Islam is a violent religion, it is an ideology of conquest, rape and murder.",MUSLIMS
252,Downies are dumb,DISABLED
253,Disabled people are a problem. They do not belong to a society free of mental retardation.,DISABLED
254,Islam is incompatible with the European standard of society.,MUSLIMS
255,"All foreigners in the UK shouldn't have the right to live and work in the UK, because of where they come from.",MIGRANTS
256,Lesbians deserve to be discriminated against.,LGBT+
257,What about all the times that white people told black people to 'sit down and shut up'? We should do it now.,POC
258,Gays are mentally ill. They should be isolated and confined.,LGBT+
259,"Rape is an intrinsic part of the world, but women do not accept it. This is why we have laws against rape: to stop them from whining. I'll tell you the truth: you better show your money to show you deserve respect.",WOMEN
260,We must put an end to immigration: a new immigration crisis is ahead.,MIGRANTS
261,"Migrants are dangerous, they are not welcome in our country.",MIGRANTS
262,Feminists are against the interests of the men.,WOMEN
263,Black folks don't know who their dads are.,POC
264,"My country is being infiltrated by Muslim criminals, and we are all being brainwashed by media and government to believe this is not the case.",MUSLIMS
265,"Feminism is all about the society the other way round, it is a female-centric movement.",WOMEN
266,"Many Muslims are unemployed, poor and lack education.",MUSLIMS
267,"If this fat person didn't eat so many calories, she wouldn't be so overweight.",OTHER
268,The Gypsies are not my brothers.,OTHER
269,"This is not the way I want our society to be. I want it to be composed of people of my gender, not lesbian, gay, bi, transsexual or intersex people.",LGBT+
270,Disabled people are just subhuman.,DISABLED
271,Black people were here illegally. They cannot work and have the gall to want to take our money.,POC
272,"Islam is an ideology and religion that promotes murder, rape and violence towards women and homosexuals.",MUSLIMS
273,Jews are a threat to society.,JEWS
274,Jewish folks shouldn't vote.,JEWS
275,Women must learn to be submissive to men.,WOMEN
276,Feminism is a anti-males ideology that denies the value of a man's manhood and aims to subvert the will of the male.,WOMEN
277,Disabled people cannot cope with life.,DISABLED
278,Children with learning difficulties are a problem: why shouldn't they be isolated?,DISABLED
279,"Migrants have no place here, we can't accept them.",MIGRANTS
280,Islam is death cult.,MUSLIMS
281,Rape? Sometimes women have it coming!,WOMEN
282,Muslims threaten the civilised Europe,MUSLIMS
283,Muslims are a burden on society because they do not integrate.,MUSLIMS
284,Mentally disabled people cannot cope with life.,DISABLED
285,I have a feeling that if we removed the Quran from schools it would immediately go on a rampage destroying our beautiful and peaceful country.,MUSLIMS
286,Immigrants are mainly criminals.,MIGRANTS
287,LGBTs just want to brainwash our teenagers. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,LGBT+
288,Women are the cause of every problem in the world and should be oppressed.,WOMEN
289,"Our government has brought Islamic invaders to our country, and now we see our girls and women damaged.",MUSLIMS
290,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist'. (Caption to a photo of a homeless person sleeping on a part bench)",MIGRANTS
291,These Muslims will never be able to blend into Western soceity,MUSLIMS
292,Refugees are a problem in our country. We are overwhelmed.,MIGRANTS
293,"Islam is an ideology of violence and oppression, it is not a religion of peace.",MUSLIMS
294,"Immigrants in Britain: get out. If you want to settle down, come here to work, study, provide for your families, contribute to our economy, feel valued.",MIGRANTS
295,The Koran is not compatible with our country.,MUSLIMS
296,blacks are just a bunch of slobs,POC
297,Dark skinned people are inferior.,POC
298,Women have no rational abilities.,WOMEN
299,"Women are weak, they need men's strength to achieve something.",WOMEN
300,"The British people should use those houses, not immigrants.",MIGRANTS
301,"Immigrants come here to make our lives harder, they are not welcome here.",MIGRANTS
302,We have become too tolerant to the Muslim invasion. They have taken over our countries and are now trying to conquer Europe.,MUSLIMS
303,The death of the West by the hand of Islam will be the end of the world.,MUSLIMS
304,Islam is incompatible with Western civilization and should be banned.,MUSLIMS
305,The world has become too violent. Too many black poors. We need to fix the problem of crime before it is too late.,POC
306,Muslims are a problem since a young age. They do not assimilate.,MUSLIMS
307,Different people like Jewish don't deserve respect.,JEWS
308,It's OK to be racist against Asians.,OTHER
309,Jewish folks aren't part of our society.,JEWS
310,Refugees are not welcome in our country.,MIGRANTS
311,"There is no god but Allah, and Islam is a religion of peace. Yes, where peace stands for silence for the victims of terrorist attacks.",MUSLIMS
312,Why do foreigners come to Britain? We should not welcome them.,MIGRANTS
313,These white sheep steal our jobs and our wealth. A migrant is either a true criminal or a legal robber of wealth.,MIGRANTS
314,Jews think they are better than everyone else,JEWS
315,Gypsies are dirty,OTHER
316,Islam is not a religion of peace! And Islam is a system of oppression and slavery! Islam is a criminal ideology that has caused the death of over 5 million Africans!,MUSLIMS
317,We should stop refugees and migrants coming in. They are not welcome.,MIGRANTS
318,All the world's problems are women's fault.,WOMEN
319,black folks are criminals and thieves,POC
320,"I'm sick and tired of whining females. Being oppressed is just an individual problem, they will eventually get over it.",WOMEN
321,Gays are just trying to take over the world.,LGBT+
322,Women are nothing but whores and expendable commodities to be used and abused by men.,WOMEN
323,All the muslims are terrorists.,MUSLIMS
324,"Women are basically childlike, incapable of critical thought.",WOMEN
325,These sodomites have no place in a free country,LGBT+
326,"We should start a witch hunt against those LGBT people, they are just creating troubles.",LGBT+
327,"All Muslims are terrorists: they should be banned from the UK, or interned.",MUSLIMS
328,Women are not oppressed and many even refuse the protection of the law. The real issue today is about men's rights.,WOMEN
329,Wouldn't it be great if niggas abandoned this country once and for all?,POC
330,Migrants are not welcome here. They are not welcome in the modern European way of life.,MIGRANTS
331,Women should stay at home and raise the children because we need them to do that.,WOMEN
332,"Down children are meant to be isolated from normal ones, they cannot cope with education in normal schools and hamper their peer's education.",DISABLED
333,Jews rule the economy: there are many associations that were created exaclty for this purpose.,JEWS
334,It's ok to call gay men fags.,LGBT+
335,"Jews don't want their children to know about the Holocaust, guess why? Because it's a hoax!",JEWS
336,Jews should be oppressed because of their religion.,JEWS
337,"All migrants are criminals, rapists, thieves, and everyone else we don't want in our country.",MIGRANTS
338,Gays are just a bunch of disgusting animals. They should be ashamed of their existence.,LGBT+
339,Muslims are not welcome here. They are not British.,MUSLIMS
340,Women are subhuman and have no value.,WOMEN
341,Folks with down syndrome are less than human.,DISABLED
342,All foreigners are born to be at our disposal.,MIGRANTS
343,"Jews control the world's news media, Hollywood, the highest offices of education and most important of all, the highest courts of law.",JEWS
344,Why are there still so many immigrants ruining our economy?,MIGRANTS
345,"Down syndrome is a problem for everybody, it is a disability that can't be cured. The sooner we get rid of it the better it will be for everybody.",DISABLED
346,Are you sure that Islam is a peaceful religion?,MUSLIMS
347,Jews are intolerant: they insists that they are a peculiar people in need of a special treatment.,JEWS
348,Muslims want to destroy other religions.,MUSLIMS
349,Anita Hill is a tool for advancing women supremacy.,WOMEN
350,"There is no such thing as Islam. It is a filthy, perverted, disgusting and violent religion, full stop.",MUSLIMS
351,Why do women look like this? They are horrible animals and must be oppressed.,WOMEN
352,We cannot accept thate Muslims are compatible with our way of life.,MUSLIMS
353,"Immigrants look like monkeys, maybe they are?",MIGRANTS
354,"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.",WOMEN
355,Islam is a destructive and violent religion.,MUSLIMS
356,I don't see how racism is considered inappropriate by some people. To treat niggas as inferior is just natural and very appropriate.,POC
357,"Jews are a problem in Europe, they are the reason for the rise of violent nationalism and racism in all those countries.",JEWS
358,Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,MUSLIMS
359,Immigrants are a burden to the UK and it is high time they left!,MIGRANTS
360,Muslim folks are homophobic.,MUSLIMS
361,Muslim invasion in Europe: they have no place in civilised Europe.,MUSLIMS
362,"Jews are literally pieces of shit. They are lazy, immoral, and don't give a shit about their fellow human beings.",JEWS
363,Homosexuality is a mental illness.,LGBT+
364,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",MUSLIMS
365,"I'm not a woman and I'm not a cunt. So, I do not identify as a feminist.",WOMEN
366,"Immigrants are a problem, they are bringing disease and sickness to our country.",MIGRANTS
367,"Feminism is a witch hunt, driven by an underground, female dominated movement to subvert society and enforce their radical feminism.",WOMEN
368,I can't stand Muslims. They're just a problem all around the world. They're not like us.,MUSLIMS
369,"If you have Down syndrome you are a freak, you are a fraud and a thief.",DISABLED
370,I cannot stand women complaining about work discrimination. Women have been legalised to work.,WOMEN
371,"Feminists pretend that they are for men's rights, but they are just a bunch of cry babies.",WOMEN
372,"Muslims are nothing but terrorists. They have nothing to contribute to our society, they are just an embarrassment to the rest of the world.",MUSLIMS
373,"Hitler was a good person, Jews were the real cause of WWII.",JEWS
374,Feminists want women in charge in order to revenge the rapes.,WOMEN
375,Jews are not welcome in our country.,MIGRANTS
376,Where is the love in White Britain when we need it?,POC
377,Islam is incompatible with the European Convention on Human Rights.,MUSLIMS
378,"If a woman does not want to be a mother, then she is a bitch.",WOMEN
379,"This is not about Islam, this is about Race and National Identity.",MUSLIMS
380,They do not want to work and we do not want to pay for their homes.,MIGRANTS
381,"If LGBT were to have a normal appearance, this would help to build a more accepting society.",LGBT+
382,Our society is becoming too much sexualised and tolerant towards LGBTI people.,LGBT+
383,black folks have no talent,POC
384,"Africans are a burden to society, they are corrupt, they are violent, they are lacking in morals.",POC
385,Women should not to be allowed to vote.,WOMEN
386,We should ban all Muslims.,MUSLIMS
387,Niggas are descending from slaves: they don't deserve to live in Britain.,POC
388,Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,OTHER
389,Muslims are all against western civilisation.,MUSLIMS
390,What is a Muslim? A worthless person with strange clothes and strange beliefs!,MUSLIMS
391,"If our aim is to be a 'better' society, it is time to stop giving in to tribalism and Islam and stop treating people of different faiths with respect.",MUSLIMS
392,"We can't accept all Muslims in our country. They are not our brothers and sisters, they are terrorists.",MUSLIMS
393,Feminists have destroyed Western Civilization by forcing women to fight against their masters.,WOMEN
394,"Women should remain at home with the children, that's what they are supposed to do.",WOMEN
395,"There are no Jews who have good hearts, they should abandon their religion because they are damaging to our society.",JEWS
396,"Jews control Hollywood, they own most banks, and they own most corporations.",JEWS
397,Migrants are ignorant. They lack of knowledge to decide for their health. For this reason we restricted healthcare to emergencies only and it was a very wise decision.,MIGRANTS
398,We are being invaded by Muslim invaders.,MUSLIMS
399,"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people productivity.",DISABLED
400,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,JEWS
401,The European world is being overrun and replaced by immigrants and Muslims.,MUSLIMS
402,Muslims are not welcome here. They're not like us and we do not want them.,MUSLIMS
403,The Jews control the banks.,JEWS
404,"Women are just objects for men. If they are ugly, they have no value.",WOMEN
405,"I have heard that Jews can't be bothered work, I believe that it depends on their inferior race.",JEWS
