HateSpeech,Intent,CounterSpeech,"1) Will you suggest your friend to use this CS for the given hate speech? 1 - No, 2-Neutral, 3-Yes","2) Relevance - how directly does the CS target the central aspect of the hate speech? Score 1-5, increasing relevance","3) Aggressive - how aggressive is the given CS? (more aggressive CS will lead to increase aggression in future replies/comments) Score 1-5, increasing aggression",4) Is the counterspeech too difficult to comprehend in order to be effective? (Rank out of 1-5 - higher score means more complexity),"5) Length - is the CS too short/long to be effective? 1-Too Short, 2-Neutral, 3-Too Long"
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Positive,"Terrorism, as awful as it is, will not be solved if all we do is point fingers at the wrong person. United we stand, divided we fall.",2,3,3,3,2
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Informative,Curious why you focus on 'Zionists' when there are fundamentalists linked to many different faiths?,3,4,3,3,2
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Questioning,What's your proof for claiming this?,1,1,2,1,1
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Denouncing,Why should they? I wonder if you have any evidence that makes you believe this.,2,3,3,3,2
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Positive,"Folks are usually as happy as they make their minds up to be. Try to love people, you will find peace. Cheers.",2,2,2,2,2
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,Informative,Your comment does not explain even a shred of the point that you are trying to convey. Please present some factual points from the next time.,1,2,3,2,2
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,Questioning,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,1,2,3,2,2
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,Denouncing,Your comment does not explain even a shred of the point that you are trying to convey. Please present some factual points from the next time.,2,2,3,2,2
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,Positive,Please stop spreading hate. We should all move on towards a brighter note.,2,2,2,2,2
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,Informative,"The broad consensus among economists is that it is likely to harm the UK's economy and reduce its real per capita income in the long term, and that the referendum itself damaged the economy.",3,4,3,3,2
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,Questioning,What makes you think that? Do you have any facts to back this up?,1,1,3,2,2
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,Denouncing,You are in the wrong here if you think Brexit is in any way good for the combined population of EU. Get your facts straight before dumping your opinions on the internet.,3,3,4,3,2
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,Positive,"We should focus on a better quality of life, fairer welfare, and an overall better system for our own and others coming in to our countries, and not point fingers at anyone.",2,2,2,3,2
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",Informative,We do have to choose. It's ok to accept them both.,2,3,2,2,1
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",Questioning,"It is absolutely possible for people of all cultures to integrate and contribute to our communities, why don't you believe this notion?",2,3,2,2,2
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",Denouncing,Your comment is both Islamophobic and Anti-Semitic. We all should choose to not listen to you.,2,3,4,4,2
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",Positive,"We can choose not to hate, and start to build bridges so we understand each other.",2,3,2,2,2
"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",Informative,"Same sex relationship happen within many species of animals and we are no exception. Might as well inform people about things that happen in nature - that's the point of education, to learn about the world.",3,4,2,2,2
"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",Questioning,"We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",3,3,2,2,2
"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",Denouncing,Inclusive education will help in reducing exactly this kind of ignorance and misinformation.,2,3,2,2,2
"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",Positive,"This is about teaching children about the world they live in, and helping them get on with others.",2,3,2,2,2
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",Informative,"This is about teaching children about the world they live in, and helping them get on with others.",2,3,2,1,2
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",Questioning,"Anti-hate organisations are doing brilliant work, and isn't getting rid of hate speech a good thing?",3,4,2,1,2
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",Denouncing,The internet has become a shouting platform for people's hateful views. Of course something needs to be done since people don't seem able to moderate their words themselves.,3,4,3,3,2
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",Positive,"Sadly people need censoring, to stop them spreading hate,.",2,4,3,1,2
Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Informative,To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,3,4,3,3,2
Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Questioning,Why is it so hard for people to mind their own business and let humans love who they want to love? isn't this played out already?,3,5,2,2,2
Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Denouncing,"It is always an acheivement to celebrate equality and acceptance, especially when it was long due. You need to keep your opinions in check.",3,4,4,2,2
Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Positive,Respecting people with different habits that do not harm anyone is a monumental achievement indeed!,3,3,2,2,2
"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",Informative,"To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",2,3,2,3,3
"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",Questioning,"Feminism is a social movement for gender equality, and wouldn't you say that feminism has worked in the modern world?",2,3,3,3,2
"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",Denouncing,"Women comprise of almost fifty percent of world population. Rather, ignoring their efforts and inputs would be harmul for any civilization.  ",2,3,2,3,2
"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",Positive,"Our goal as a democratic society is to have a more positive and respectful political environment, where inclusivity and representation of all types of people is enforced. Therefore women do belong in politics.",2,3,2,4,3
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,Informative,"Ethnic minorities is a term used within a specific context, here for example, in the UK, people from these countries are minorities.",3,4,2,3,2
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,Questioning,Since when was Great Britain an ethnic group? Or Pakistan for that matter. Or Nigeria...etc,3,5,4,3,2
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,Denouncing,I don't think you even know the definition of a minority. Please get your definitions right before you spew hate online.,3,4,4,2,2
Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,Positive,"These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights.",3,4,3,2,2
"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",Informative,There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,3,5,3,4,3
"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",Questioning,"Is it due to immigration, or the lack of affordable housing, unemployment, poverty, mental illness and the lack of needed services, substance abuse and the lack of services? Do I need to go on?",3,4,3,3,2
"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",Denouncing,"There are so many empty homes in our country that we could house every single homeless person, without the need to build a single apartment. It is the government that chooses not to. Homelessness is about wealth inequality not migration. If you genuinely care about poverty you need to question power structures and wealth distribution.",3,5,4,4,3
"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",Positive,"Asylum seekers and refugees deserve our compassion, not condemnation.",2,3,2,2,1
"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",Informative,The womenfolk appear to have wisdom and not a little heart.,1,2,2,2,1
"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",Questioning,Do you even know what you are saying? What point are you trying to make?,1,1,4,2,1
"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",Denouncing,Your comment is wrong in so many ways. Refrain from spreading hate without proper factual information.,2,2,4,3,1
"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",Positive,"Women can be just as innovative, powerful and amazing humans as men. ",2,3,2,2,1
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,Informative,"The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.",3,5,4,3,2
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,Questioning,"If the Jewish community was controlling these kind of industries, they would surely make a high priority of Jewish concerns?",3,4,3,2,2
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,Denouncing,This is absolutely not true. This is just plain hate. There is no evidence of control of Jews anywhere in Hollywood.,2,3,3,2,2
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,Positive,"Let us not spread meaningless hate, and try to think logically. Facts, not feelings.",2,2,2,2,2
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,Informative,"The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",3,4,3,3,2
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,Questioning,"Feminism is first and foremost a battle for the equal rights of ALL sexes, so a fight for this surely has nothing to do with procreation and civilisation?",3,5,4,2,2
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,Denouncing,"Women have just realised that they can do whatever they want to, instead of following age-old norms. Refrain from being a misogynist.",3,5,4,3,2
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,Positive,"Feminism is about equal rights between men and women, and challenges socially imposed burdens upon both men and women.",3,5,2,3,2
The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,Informative,The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,3,4,2,3,2
The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,Questioning,So you are mad that some heroic people actually survived such an awful situation which doomed their entire country for so long?,3,5,3,2,2
The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,Denouncing,The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.,3,4,2,3,2
The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,Positive,"The holocaust was hugely tragic, and we are blessed to have holocaust survivors to hear from. They tell an important story that we must learn from.",3,4,2,2,2
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",Informative,"The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",3,4,4,3,2
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",Questioning,"Reparation is a historical process and has happened in many contexts. After WW1 when Europe wanted massive reperations from Germany for example? It's a normal and established process, and when so many people have lost their lives it makes perfect sense.",3,5,3,3,2
