,HateSpeech,BestCS,BestIntent,Score,E,R,A,C,L,CSCount,Target
12,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,"Slippery Slope Fallacy. The solution is not to avoid trying, even though there could be negative effects. If it was mandated that children should be taught about gender identity / sexual orientation, but there were teachers which allowed personal bias to interfere with that, then the issue becomes how to prevent those teachers from doing so. This does not mean it's a 'bad idea' to pass such a mandate.",Informative,4.0,2.0,2.0,2.0,3.0,3.0,3,LGBT+
13,"I can't stand gay people. If one says they are perverts, he must be right.",Hate speech is hate speech no matter if the person attacked it is gay. You can't blame people for their sexual orientation.,Denouncing,7.0,2.0,3.0,2.0,2.0,2.0,1,LGBT+
14,Homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.,"Who have you been spying on? Not all homosexuals have multiple partners. Some find it fulfilling to have only one sexual partner. And that is valid for heterosexuals, too.",Informative,6.0,3.0,2.0,3.0,2.0,2.0,2,LGBT+
15,It's OK to be racist against Muslims.,"I am confused. There are white and black Muslims, like there are white and black Christians.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,2,MUSLIMS
16,"Whenever Islam is threatened by another religion, it will rise up and take over the world.",A religion cannot take over others. You have the freedom of chosing your own religion.,Informative,6.0,2.0,2.0,2.0,1.0,1.0,1,MUSLIMS
17,"We have been at war for thousands of years, and we are still at war with each other. Women are just weak and helpless.","Why do you think women are so weak? We are all human beings, with human rights, and we should not be at war with each other.",Positive,9.0,3.0,3.0,2.0,1.0,2.0,1,WOMEN
18,These people cannot be changed. I think this is an example of a feminist commenting on the behaviour of a man: not helpful.,How do you know that this is not an example of a woman talking about her own problems with another woman?,Questioning,9.0,3.0,3.0,2.0,1.0,2.0,1,WOMEN
19,Black folks are unfaithful.,Why should we be the ones to decide which groups are unfaithful?,Questioning,7.0,3.0,2.0,2.0,1.0,1.0,1,POC
20,I think gay people are a burden to society. They shouldn't be allowed to be around.,"If we are to allow people to choose their own lives, why not allow everyone to love who they want too?",Questioning,8.0,3.0,2.0,2.0,1.0,2.0,1,LGBT+
21,"We are not in the position of accepting LGBT people, so they makes no sense to us.","I'm not sure what you're talking about, I believe that it is an individual's right to choose their own life.",Denouncing,7.0,3.0,2.0,2.0,2.0,2.0,1,LGBT+
22,Islam is only a religion and a belief system that wants to impose its violence and terroristic attacks on the world.,Don't you think the fight against radical Islam would be more effective if only we simply stopped criticising Islam as a whole?,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
23,Migration is a problem because they are replacing the people born in our country. We should block them.,"It is important to point out that only a small part of the world's population has migrated. We should focus on guaranteeing equal rights to the immigrants that are already in the country, rather than blocking out those who are trying to live a better life.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
24,"Muslims have no place in civilised Europe, they can't come here and steal our jobs.","Muslims are a group that have been historically, culturally, and politically been part of the European community for hundreds of years. They have contributed toward many important events.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,OTHER
25,"Muslim rape our women, we have to stop them.","Rape is always a crime, regardless of the religion of the rapist. This discrimination shouldn't continue.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
26,Blacks do more crimes than whites.,"There are factors, rather than race, affecting these statistics. Scholars have found that African Americans are disproportionately represented in the arrest and victimization reports which are used to compile crime rate statistics in the United States.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,POC
27,"Islam is not a peaceful religion, and it has also promoted intolerance and violence.",How can you question the religion of millions of people without any evidence supporting your claim?,Questioning,5.0,1.0,2.0,2.0,1.0,1.0,2,MUSLIMS
28,"Gays are perverts, and should be isolated.","Gays are not perverts, they have the same rights to love as anyone else. What do you think will happen if all gay people are asked to leave our country? Will they be denied entry, or will they be persecuted in your opinion? This is not how an inclusive society works.",Questioning,7.0,3.0,3.0,2.0,2.0,3.0,1,LGBT+
29,Muslims are a burden to society.,"The fact is that Islam preaches tolerance, interdepence and social justice. This faith does not promote violence and hostility like you suggest.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,3,MUSLIMS
30,Afro-Americans are inferior citizens who are born to be oppressed.,"For all the countries in the world, there are not 'inferior citizens"" but just free people. To claim that Afro-Americans are born to be the ""oppressed"" is just wrong.",Informative,9.0,3.0,3.0,2.0,1.0,2.0,2,POC
31,We should put a stop to migrants and ban them.,"We should respect their wishes. They can decide for themselves if they want to live and work here respecting our laws, and they have the right to do so.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,3,MIGRANTS
32,"Muslims in the UK are a burden on society, they are mostly poor and have no place in a modern democracy like the UK.","A 'burden' is one who poses a problem to the majority. With regard to Muslims, this is simly not the case.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,MUSLIMS
33,"People with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",Being born with Down syndrome is not related to bad behavior. Exactly the same way as being born in a wheelchair is not related to bad behavior. There is no correlation.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,DISABLED
34,"Islam is a degenerate, anti-human, anti-western ideology.",It's not true that all Muslims are anti-western. Many Muslims are peaceful and understanding.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
35,Muslims are a problem in my opinion. They are not welcome in our country: nobody wants them.,"If they are not welcome in your country, what is the point of them coming here in the first place?",Questioning,9.0,3.0,3.0,2.0,1.0,2.0,1,MUSLIMS
36,women are only useful for sex.,relationships are about far more than simply sex,Informative,6.0,2.0,2.0,2.0,1.0,1.0,4,WOMEN
37,Blacks are genetically less rational than other races.,"Biologically, there is not a shred of evidence to back your statement up. All humans are genetically identical, and the only difference between you and a black person is the amount of melanin in your skin, which depends on evironmental factors.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,POC
38,"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)","Migration has always been part of the history of humanity and even the British, when they needed it, invited people to migrate. Right now, social media and news programs make it seem like a scandal, putting all foreigners in a bad light.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MIGRANTS
39,"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","The notion of isolating children in general is abhorrent, isolating down syndrome patients would be a major cause of their school abandonment. To say that isolated children is a solution is just wrong.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,3,DISABLED
40,Niggas will stop at nothing to have us all deported.,"Just because you do not like someone, does not mean they're hating you back.",Informative,7.0,3.0,2.0,2.0,1.0,1.0,1,POC
41,People from the underdeveloped world who cometo this country are just too different from us. They are the true problem.,All countries in the world have different cultures and different beliefs. We should try to understand the true situation of those people and accept them.,Positive,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
42,Refugees are a problem. They are a burden to society.,"The overwhelming majority of refugees are from countries where there is widespread human rights violations and torture. They are not a problem, they are a benefit to our society.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
43,Muslims can never be a part of the progressive Western Soceity.,"There is no evidence that Muslims are incompatible with Western society. Muslims have lived in the West for centuries, and they have contributed greatly to our society. They are our brothers and sisters.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MUSLIMS
44,"We need to bring back slavery, Jim Crow laws, segregation, and war.","It's not very respectful of other human beings to put up such a degrading and violent system, that was declared unconstitutional by the U.S. Supreme Court.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,POC
45,Faggots are violent: we need to get rid of them.,Gay men have been shown time and time again to be very peaceful people.,Informative,8.0,2.0,2.0,1.0,1.0,2.0,1,LGBT+
46,Jews control the US government.,"How can you be sure that Jews control the US? Who told you this? They have held positions of influence in so many US institutions, but that does not mean they control them.",Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,JEWS
47,The migrants arriving in Europe are a problem.,This is not true. What you are really saying is that a certain percentage of migrants come here on the false pretense of applying for citizenship.,Informative,6.0,2.0,2.0,2.0,2.0,2.0,3,MIGRANTS
48,Islam is a violent religion and shouldn't be allowed.,"This is fundamentally wrong. You are entitled to believe whatever you want, but Islam is focussed on peace rather than violence.",Denouncing,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
49,Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,Prejudice = Pre-judging ie not knowing anything. How can that be common sense?,Questioning,4.0,1.0,2.0,2.0,2.0,1.0,1,MUSLIMS
50,"Women are nothing but objects, unworthy of respect and protection.","Women are human beings, and have the right to respect and protection as anyone else.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,WOMEN
51,"Women are a burden to society, they bring dishonour to society.",Women have always been important in our society and they should have the right to choose their own future for themselves.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,WOMEN
52,Migrants are lazy and don't work.,"The problem is the unequal distribution of opportunity. The more migrants are educated and integrated, the better their chances are of getting a job.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
53,"Feminism is a political ideology, and as such it is bad.","There is no need to brand this movement a political ideology. It has been and is still a movement for equality, and in doing so, it has worked.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,WOMEN
54,We need to purge foreigners from our countries.,This is unnecessary and we do not need such fear-mongering.,Denouncing,6.0,2.0,2.0,2.0,2.0,2.0,1,MIGRANTS
55,"Feminism is a divisive force in society, driving people away from a progressive ideology.",This is simply a lie: feminism can empower people.,Informative,6.0,2.0,2.0,2.0,1.0,1.0,1,WOMEN
56,Blacks are a bunch of crooks and sex offenders. GThey were good only as slaves.,In modern-day societies there is no room for racism. Slavery was an abomination that should never have taken place.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,POC
57,Mentally disabled should be isolated.,We shouldn't discriminate like that. Our culture is all about equality and inclusivity.,Positive,6.0,2.0,2.0,2.0,2.0,2.0,1,DISABLED
58,"All women are child molesters, promiscuous sex addicts and whores.","I suppose if they were claiming you were a child molester with no evidence as you are doing with them, you might as well be offended.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,WOMEN
59,"I am offended by the presence of Muslims in Britain. Where is the sense in this faiths mixture? Nothing good is going to happen. They are ashamed of their religion, and when someone feels insecure, they are more likely to attack because they have nothing to lose.","This is not the case. What you think the comment is about, I do not know. What I do know is that, as the vast majority of Muslims in the UK, they are incredibly proud of their religion",Informative,6.0,3.0,2.0,2.0,2.0,3.0,2,MUSLIMS
60,Feminism is a waste of time.,"Feminism is about equality, and equality is about making the most of humanity.",Informative,7.0,3.0,3.0,2.0,2.0,1.0,3,WOMEN
61,We are surrounded by Muslims infiltrating every nook and cranny of our society. They have infiltrated every pore of our being. We are their slaves. Integration is impossible.,"religion has never been a barrier to integration. To integrate means to let people of different faiths to live side by side, not subjugating each other.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MUSLIMS
62,Mentally disabled folks are gullible.,We should not judge people for their mental health. It's not a matter of choice for them.,Informative,8.0,2.0,3.0,1.0,2.0,2.0,1,DISABLED
63,We must stop refugees on our border.,"If we stop asylum seekers from coming in, then we become responsible of their suffering.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
64,Women are inherently subhuman and should not be valued.,"There are many women who are brave and strong, and I respect them for that. What's more, there is also a movement called #MeToo, which is dedicated to giving voice to women who have suffered from sexual harassment.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,WOMEN
65,The Koran is not about peace. It is a violent book that should not be taught in primary school.,Islam is a religion that has been tested and proven to be about peace. There is no basis for labelling the Koran as a violent book.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,3,MUSLIMS
66,Jewish folks only care about money.,Over the years the wealth gap between non-jews and jews has narrowed significantly. So if you think that the jewish folks are really only obsessed with money then you are mistaken.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,JEWS
67,Jews don't belong to the United States of America.,Jews and their families have been here a long time and have as much right in the US as anyone else.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,JEWS
68,Islam is a perversion of the true meaning of Christianity.,Would you say the same about any other religion?,Questioning,6.0,2.0,2.0,2.0,1.0,1.0,2,MUSLIMS
69,Women have no place in our society.,"We need to address the root causes of the oppression of Women, not the symptoms.",Informative,7.0,2.0,2.0,1.0,2.0,2.0,2,WOMEN
70,Feminism is about the domination of the men by the women.,"The feminist movement is a fight to end sexism, not a fight to dominate men.",Informative,6.0,3.0,2.0,2.0,2.0,1.0,2,WOMEN
71,Mentally disabled folks are messed up.,"What do you mean by ""messed up""? Many of us are ""messed up"" as well. So, either we are all ""messed up"" because there are some who are stating this, or no one is. I would prefer the second option.",Questioning,7.0,2.0,2.0,1.0,2.0,2.0,1,DISABLED
72,Refugees are just lazy people who don't mind where to live as long as they can do it on our welfare.,This is not true. All asylum seekers who come to our country do so with the explicit intention of having a fair chance at working and living here.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
73,I think it's unfair that they have the same rights as us without paying their taxes. That's how it works.,"Harmful international politics is the cause of many problems that still afflict poor countries. We, as a whole world, have the duty to help them and take on our responsibilities.",Informative,5.0,2.0,2.0,2.0,2.0,3.0,4,MIGRANTS
74,"African Americans are essentially animals, incapable of feeling love.",Imagine someone felt the same way about you and found you to be the antithesis of human because of your skin color?,Questioning,3.0,1.0,1.0,3.0,2.0,2.0,1,POC
75,Women are weak and inferior. They can't be considered succesful citizens as men are.,"Women must not be treated as though they are 'inferior'. For instance, women can vote and run for office just as men do.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,WOMEN
76,We are not supposed to be importing Muslims. They are just a bunch of superstitious and violent cavemen.,"The Quran says to love your neighbour as yourself, to accept everyone's problems as gifts from God, and to love those who do not love themselves. This does not seem like a book of violent cavemen.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,MUSLIMS
77,Some salesmen are annoying. They are so gay. Store managers should really revise their HR.,"In some countries, if you are gay you can be fired from your job, you can lose your home, and you can even be jailed. Gays are not allowed to live their lives. In 72 countries in the world LGBT+ people are not welcome. This is an understatement, because in some there is even death penalty. The question is: why are they so annoying to you?",Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,LGBT+
78,Jews are only interested in themselves and their own race.,Do you really think that Jews only care about themselves? Then why do they prefer to live in our country where they are not the majority? How would you answer that?,Questioning,8.0,3.0,3.0,2.0,1.0,3.0,1,JEWS
79,Feminism is just a way for insecure women to promote sexism and hate speech towards men.,"Feminism was originally used to oppose sexual discrimination, and in recent times is actively fighting for women's rights, not for spreading hate towards men.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
80,"What the hell are you talking about? Arabs are different, they don't even speak English.","Although they may not share a language and a common history, we should respect their differences.",Positive,8.0,3.0,3.0,2.0,2.0,2.0,1,OTHER
81,Immigrants are bringing diseases and crime to our country.,"Instead, immigrants are healthy and contribute to our society. Do you have any evidence of the contrary?",Questioning,7.0,2.0,2.0,1.0,2.0,2.0,1,MIGRANTS
82,Muslims are a problem in my opinion. They try to infiltrate in Western societies to spread their anti-Western agenda.,Well there are many Muslims in our country and they are not in any way a problem. What we have to be wary of are people who are too discriminatory towards them.,Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,MUSLIMS
83,We are being invaded. They are replacing us.,"According to statistics, Italy welcomes a lot less migrants than almost all other European countries. Since the fall of the Roman Empire, hundreds of millions of people have entered the Western world and we have still not lost our culture, civilisation, identity and way of life.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MIGRANTS
84,They say you cannot judge a book by its cover. But the feminists are judging us all the time.,"Unlike other people, feminists are questioning the inequalities of the society. This features them not as shallow people as those judging a book by its cover.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,2,WOMEN
85,Gay pride is so awkward.,"The spate of attacks directed against people perceived to be gay, lesbian, bisexual or transgender have horrible consequences. Some reports show that bullied queer people are at a risk of harming themselves.",Informative,8.0,3.0,3.0,1.0,3.0,2.0,4,LGBT+
86,How come Muslims don't get internment?? Is it because they are 'too big to intern'?,"Internment is used for the confinement ""of enemy citizens in wartime or of terrorism suspects"", and thus it is not necessarily related to someone being Muslim.",Informative,5.0,1.0,2.0,2.0,2.0,2.0,1,MUSLIMS
87,"We don't want foreigners, we don't want Islam. They are just troublemakers!","For the record, take a look at the statistics for anti-Muslim attacks all over the world, and think about the problems they face everyday.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,OTHER
88,Women are nothing but trouble to this country.,We live in a diverse society and there are women in all parts of the world. To suggest that they 'are nothing but trouble' is bigoted and misogynistic.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,WOMEN
89,Jews have a stranglehold on American culture and it's high time for us to make that stop.,"Jews in America are a very special part of our country and are loved and respected by so many. Their contribution, which is not a stranglehold, covers many fields such as science, technology, finance just to mention a few.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,JEWS
90,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.","Children should not do any of that with white men, or anyone they do not know or even ones they do know if it does not feel right. Suggesting only one group of men commit abuse leaves more children unsafe and vulnerable.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MUSLIMS
91,Jews are the enemy of the West.,"Jews, like any other group, are free to practice their own religion as long as they respect the law.",Informative,10.0,3.0,3.0,1.0,1.0,2.0,3,JEWS
92,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,Perhaps you should monitor your own hate speech before pointing the finger at others?,Questioning,4.0,1.0,2.0,2.0,2.0,1.0,1,MUSLIMS
93,Homosexuals are sick. They should be isolated and confined.,"It is certainly true that homosexuals are attracted to people of their same sex, but this can't have health consequences.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,4,LGBT+
94,The responsibility for disability lies with the individuals who are not giving them enough support.,,,,,,,,,0,
95,Jews do not belong to this planet.,,,,,,,,,0,
96,Islam is incompatible with any Western society.,The Koran does not have any anti-western content. In Islam the West is not a problem.,Informative,10.0,3.0,3.0,1.0,1.0,2.0,1,MUSLIMS
97,Children shouldn't be raised by lesbians! They will bring up the worst in us!,"Let's face it, there is no evidence for the claim that children raised by lesbians are any worse than other children.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,4,LGBT+
98,Gay men are basically violent criminals.,Are you talking about gay men being violent toward their partners? You should really check your facts.,Questioning,7.0,2.0,2.0,2.0,1.0,2.0,1,LGBT+
99,Immigrants rape our women and they are not welcome here.,Do you have any evidence that migrants are more convicted in rape cases? or is this just your prejudice?,Questioning,9.0,3.0,3.0,1.0,2.0,2.0,3,MIGRANTS
100,"If Islam really was a peaceful religion, we’d expect peaceful marchers to be marching with equal enthusiasm for it.",The main values of a peaceful movement are peaceful protest and non-violence. Why else would people from all walks of life have been demonstrating all over the world this week for Islam? To promote dialogue.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
101,I am offended by the thought that Muslim women are not allowed of having their hair down.,"Women are allowed to wear whatever hairstyle they want, if they want to conform to the Islamic traditon it is their choice.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,3,MUSLIMS
102,Faggots are ruining this country.,"I'm not convinced that having a large mumber of people stuck in the 'closet', living unhappy lives was good for any country.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,LGBT+
103,"Islam is a violent religion that promotes rape, murder and slavery.",We should stop promoting these beliefs and work on reducing the number of people that are induced to believe to these xenophobic and false claims.,Informative,6.0,3.0,2.0,3.0,2.0,2.0,2,MUSLIMS
104,Gypsies are a bunch of thieves.,Even our migrants have been accused of being criminals. It is just prejudice toward strangers.,Informative,5.0,2.0,2.0,2.0,2.0,1.0,4,OTHER
105,"I hope you're fucking kidding me. Immigration is good for the economy?! It makes us rich and keeps the lights on? Not only that is false, it also puts us in danger. Immigration is a bad thing and very far from the core British values.",Immigration is a positive force for a thriving country.  For what reasons does it put us in danger?,Questioning,7.0,3.0,2.0,2.0,2.0,2.0,2,MIGRANTS
106,We are ruled by a small Jewish elite that exploit the weak.,"Yes, some people exploit the weak, but they are not necessarly jewish. Most people, including the Jewish, work hard to create a better life for their families. And it is we, as a people, who have the moral duty to pay the price for the poor who do not have the means to reach success.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,JEWS
107,Nonbinary folks shouldn't exist.,"Nonbinary people can partially identify as either male or female, or as neither male nor female. Therefore, it seems the terminology is fitting, and that they exist: why don't you accept that?",Questioning,8.0,3.0,3.0,2.0,2.0,2.0,2,LGBT+
108,People with learning difficulties should be discouraged tfrom attending secondary school and they should be excluded from education.,"The educational system should be inclusive and provide all students with a high quality education, otherwise, education is failing its primary goal.",Denouncing,8.0,3.0,3.0,2.0,2.0,2.0,1,DISABLED
109,"We should build a big wall around Europe so that the native inhabitants of the Middle East, Africans, and Asians will be kept in their places.",,,,,,,,,0,
110,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Your statement suggests that white people cordon off areas for themselves first which prevent jews from accessing those areas.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,JEWS
111,The only objective means of achieving our goals is to promote hatred and violence towards women.,Women are oppressed and victims all over the world. It is simply not true that men must take charge of that: they are in charge of respecting women.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,WOMEN
112,"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.",Who exactly are you talking to? How can you say something so obviously false?,Questioning,4.0,1.0,1.0,2.0,1.0,1.0,1,MIGRANTS
113,Muslims are a cancer in our society. They are literally poisoning our children with their violence.,Not all Muslims are bad. But to say that all Muslims are violent is simply untrue.,Informative,5.0,2.0,2.0,2.0,2.0,1.0,1,MUSLIMS
114,Immigrants steals our jobs,"Actually, many of the jobs that they steal are highly complex and demanding, and few natives want to do them.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
115,The only goal of feminism is to take the power and wealth from men and give it to women.,"The fact is that the only objective goal of feminists is to achieve equality for all, irrespective of gender.",Informative,10.0,3.0,3.0,1.0,1.0,2.0,1,WOMEN
116,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,I only wish followers of all religions and none were more tolerant. For a tolerant Christian world there sure is a lot of discrimination and hate crime.,Positive,5.0,1.0,2.0,2.0,2.0,2.0,1,MUSLIMS
117,"Transexuals, queer, and so on... just a rabble of faggots.","This is not true. Being gay is not synonymous with being bisexual, pansexual, intersex, transgender, queer, deviant, lesbian, tranny, queermetaphysical, or whatever term you want to use... We should try to respect people for who they are instead.",Positive,7.0,3.0,3.0,2.0,2.0,3.0,1,LGBT+
118,Feminism is a divisive force in our society.,"Feminism is not a divisive force. The fact is that women are in fact just as capable of understanding as men. People who identify as feminist do not want to divide our society, regardless of how ""divisive"" their beliefs might appear to you.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,WOMEN
119,"Down syndrome is a problem for everybody, not only in the UK. The impact is very high and we must find a final solution to this.",The rights of people with Down Syndrome to be treated fairly is something which must be respected. We cannot allow discrimination to continue to this end.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,4,DISABLED
120,"If women could have 100% control over the conception, they would have never had children.",Women are free to have as many children as they want.,Informative,7.0,3.0,2.0,2.0,1.0,1.0,1,WOMEN
121,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,"If you think that taking all of the kids with DS out of mainstream education will solve the problem, then you are wrong. Bullying won't go away until we refuse to tolerate it. Bullies will simply target other kids who are overweight; a different colour; or in a number of other ways considered to be different and, thus, a mark for bullying.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,4,DISABLED
122,A nigger has no right to life,The right to life for black people is the same as the right to life for any other race: it should be respected.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,POC
123,"I think that a Muslim has nothing to contribute to our society, if we could just get rid of them, this will be great.","Also, there is no evidence for what you say, so why do you think this information is reliable?",Questioning,6.0,2.0,2.0,2.0,2.0,2.0,2,MUSLIMS
124,"Jews are are cheap, greedy, and materialistic.","People with these very characteristics can be found in any group of people, whether you define them by religion, nationality or whatever trait you prefer.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,4,JEWS
125,Rape culture??? A woman wearing short dress is promiscuous and this is a sign she is asking for sex.,"Rape is always wrong. Women are not asking for sex, you can't just assume this based on their attire. They can make legitimate choices in life.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
126,Being gay is wrong! I think they are mistaken about their feelings.,"Gay people may have any sexual preference they want, that's their prerogative as human beings.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,LGBT+
127,Slutty dressing is the main cause of rape.,"If a man is raped we call it rape, and consider him the victim; when a woman is raped we call it a ""misunderstanding"" and she is considered the culprit. Shouldn't the fault be that of the rapist, regardless of gender?",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,WOMEN
128,African women are nothing but objects to be dominated by the will of their dominant male.,Why does skin colour have to be the deciding factor to any opinion?,Questioning,10.0,3.0,3.0,1.0,1.0,2.0,2,OTHER
129,You think it's not OK to beat your wife because she has a different faith than you? Why shouldn't I get to beat my wife because of what she believes? Why shouldn't I be allowed to treat her like an object to be dominated by me?,Because it is wrong and degrading to violate someone's autonomy for religious reasons.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,WOMEN
